label,mu_1,mu_2,mu_3,mu_4,mu_5,mu_6,mu_7,mu_8,mu_9,mu_10,mu_11,mu_12,mu_13,mu_14,mu_15,mu_16,mu_17,var_1,var_2,var_3,var_4,var_5,var_6,var_7,var_8,var_9,var_10,var_11,var_12,var_13,var_14,var_15,var_16,var_17
6.0,-0.9186468,0.3916042,0.5453181,0.41815385,0.22298348,-0.5749882,0.6427224,0.6032505,-0.007856039,0.48610157,0.8865852,-0.7393411,0.48829406,-0.6520838,-0.41373163,0.59952915,0.02021493,0.4200164,0.7380498,0.612717,0.5973182,0.6355044,0.5723654,0.5583843,0.5523234,0.6951845,0.64840883,0.39170676,0.5473169,0.5591879,0.43730178,0.6652634,0.53901947,0.7756306
5.0,-0.92294264,0.39433515,0.55248487,0.42216876,0.22851351,-0.5786337,0.6454051,0.6060113,-0.011634227,0.49047357,0.8923396,-0.74077374,0.49303538,-0.6568482,-0.41207346,0.6041751,0.023171514,0.419027,0.73642397,0.61156,0.5930366,0.63476473,0.5714153,0.55731326,0.55028236,0.6887662,0.64958006,0.38887036,0.545066,0.55820256,0.43218443,0.6632948,0.5365573,0.7743164
5.0,-0.9201134,0.39260828,0.54808867,0.4197906,0.2252473,-0.5762494,0.64360285,0.60420746,-0.009359958,0.48770595,0.88865185,-0.7397709,0.4900776,-0.6538917,-0.4129209,0.6013082,0.02141586,0.4197567,0.73748857,0.61234146,0.59568155,0.6353698,0.5721644,0.55804795,0.55168235,0.692566,0.6490211,0.39069802,0.54656416,0.5590191,0.43537843,0.6645642,0.5380809,0.7751559
1.0,-0.9207296,0.3930778,0.549346,0.42056277,0.22637627,-0.57682425,0.64398444,0.604578,-0.01008058,0.4884357,0.88959944,-0.7399318,0.49094445,-0.6547646,-0.41246298,0.6020383,0.02198951,0.4197011,0.73724294,0.612182,0.594925,0.63530266,0.5721064,0.55792826,0.55140454,0.691355,0.64935035,0.39024496,0.5462925,0.558965,0.43448824,0.6642609,0.53768617,0.77496356
6.0,-0.9174661,0.39115554,0.54454005,0.41808566,0.22292113,-0.5740959,0.64188164,0.6025335,-0.007652335,0.485323,0.88545495,-0.73873407,0.48768473,-0.6514915,-0.41319436,0.5989274,0.020126477,0.4205948,0.7384832,0.6130983,0.59783906,0.63609535,0.57304573,0.5587936,0.5530636,0.6953826,0.64888275,0.39232147,0.54800135,0.5600217,0.4380349,0.6657125,0.5393475,0.77590376
5.0,-0.92158717,0.39346856,0.5501437,0.42080757,0.22673038,-0.57750195,0.64458716,0.6050928,-0.010405427,0.48909336,0.890522,-0.7403314,0.49154514,-0.65535,-0.41263992,0.60256785,0.022197425,0.41935456,0.7369201,0.61191505,0.5944131,0.6349298,0.571691,0.55766255,0.5508885,0.6909031,0.64916027,0.389761,0.54582465,0.55845165,0.43381533,0.6639115,0.53739583,0.7747504
3.0,-0.9225362,0.39416653,0.5522167,0.42214844,0.22846413,-0.5783045,0.6450995,0.6057884,-0.011556687,0.49019277,0.8919213,-0.7405745,0.49279052,-0.6566252,-0.41190428,0.6040107,0.023136407,0.419213,0.73657835,0.61169404,0.5932224,0.6349955,0.5716617,0.55744755,0.5505549,0.6888201,0.6497455,0.38909274,0.54528314,0.558516,0.43245137,0.66345555,0.53665274,0.7744002
3.0,-0.91422385,0.38939047,0.5402761,0.41604802,0.22013009,-0.5714605,0.639757,0.60052294,-0.005628083,0.48240632,0.8815715,-0.7374675,0.48479605,-0.64856005,-0.4134307,0.59608215,0.018587574,0.42162848,0.7397176,0.6140291,0.6004577,0.6369981,0.5741311,0.5597045,0.5547554,0.6987236,0.64875644,0.39429966,0.5497229,0.56125814,0.441257,0.66710216,0.540868,0.77679425
3.0,-0.92144114,0.39327103,0.5495242,0.42034993,0.22603747,-0.57732856,0.6445197,0.605006,-0.009993192,0.48879617,0.8901673,-0.7403442,0.49112946,-0.6549184,-0.4130402,0.6022497,0.021860898,0.41926625,0.73698705,0.61193985,0.5947785,0.6348563,0.5715841,0.55765104,0.5509129,0.69162184,0.64886034,0.38991648,0.54584813,0.5583168,0.43421915,0.66400826,0.5375695,0.7748187
7.0,-0.9219156,0.39392304,0.5518667,0.42217043,0.22844669,-0.5778083,0.6446246,0.6054564,-0.011473022,0.4897803,0.89130324,-0.74025637,0.49244237,-0.65630794,-0.41160515,0.60381156,0.023116082,0.41950357,0.73681617,0.61190313,0.5934765,0.6353724,0.5720549,0.55765337,0.55098224,0.6888288,0.65003556,0.3894249,0.5456066,0.5590238,0.432829,0.66369665,0.53677505,0.77452296
3.0,-0.9129157,0.3886056,0.53817517,0.41484195,0.21863866,-0.5704153,0.6389609,0.59965205,-0.0046243854,0.48111826,0.87991923,-0.73705286,0.4835236,-0.647247,-0.41372597,0.5945539,0.017743304,0.4220179,0.7402068,0.6143696,0.60169685,0.63713866,0.5744347,0.5600675,0.55532444,0.7005572,0.64846087,0.39512545,0.55046314,0.5615121,0.44272056,0.66767675,0.54166335,0.777179
3.0,-0.91156036,0.38772595,0.5359553,0.41390976,0.21679524,-0.5691132,0.6380398,0.5989511,-0.0033434462,0.47969657,0.8780187,-0.7365665,0.4818198,-0.64556146,-0.41437367,0.593575,0.016866222,0.42216614,0.740777,0.6147729,0.6030946,0.6376613,0.57473046,0.5603383,0.5561328,0.70250887,0.64813876,0.3960908,0.5509877,0.5619966,0.44445837,0.66836363,0.5422163,0.77758247
6.0,-0.9183367,0.39176255,0.54614455,0.41901127,0.22426575,-0.57487863,0.6424257,0.6030639,-0.008532057,0.48628175,0.88670623,-0.7389899,0.4887758,-0.65258956,-0.4127221,0.599891,0.020822734,0.42045674,0.73814017,0.6128677,0.5968737,0.63596064,0.57290584,0.55860066,0.5526532,0.6939005,0.6492245,0.3917111,0.5475894,0.55987626,0.43688634,0.6652945,0.5388302,0.7756397
4.0,-0.9200295,0.3925224,0.547788,0.41956237,0.2249892,-0.5761777,0.64357895,0.60412544,-0.009199765,0.48758036,0.88849497,-0.73977643,0.4899286,-0.65374094,-0.41305327,0.6010631,0.021266222,0.41976148,0.73751193,0.612351,0.5958399,0.63530445,0.5721323,0.5580689,0.5516817,0.692891,0.6488958,0.39076835,0.54663306,0.5589466,0.43555087,0.6646107,0.53820205,0.775196
1.0,-0.91814214,0.39141572,0.5451467,0.41824266,0.22307578,-0.57457453,0.64231974,0.60300237,-0.0078674015,0.48579258,0.88609725,-0.73907137,0.48805135,-0.65186614,-0.413394,0.5994392,0.020257264,0.42027712,0.7382447,0.6128942,0.5974729,0.6358552,0.57273227,0.5585623,0.5526905,0.6950223,0.6487097,0.39197025,0.5475725,0.55965596,0.43755937,0.6654456,0.5390847,0.77570647
3.0,-0.92266804,0.3938744,0.55083865,0.42084232,0.22675824,-0.5783199,0.6453706,0.60574514,-0.010584397,0.48979956,0.8915544,-0.74088496,0.492092,-0.6558591,-0.41314328,0.60309464,0.022259846,0.4188176,0.7365219,0.61156654,0.59394944,0.63437206,0.57104915,0.55728966,0.55019474,0.6907467,0.64870334,0.3891984,0.5451898,0.5576582,0.43315548,0.66349167,0.5371097,0.7745006
4.0,-0.9221443,0.3936823,0.5505676,0.42086527,0.22681749,-0.57791436,0.64497626,0.6054447,-0.010552451,0.48947424,0.89105874,-0.74062,0.49185336,-0.6556502,-0.41283476,0.60287493,0.022266522,0.41909856,0.7367151,0.61173815,0.5941407,0.634668,0.57139623,0.5574791,0.5505437,0.6907149,0.64896965,0.3894678,0.5455,0.5580821,0.43344378,0.66368854,0.5372305,0.7746048
4.0,-0.91944456,0.3922888,0.54739153,0.419553,0.22489089,-0.5757138,0.64314634,0.6037975,-0.009054635,0.48717266,0.8879093,-0.7394674,0.48956668,-0.6533909,-0.41284615,0.60085416,0.021210134,0.42000705,0.73773956,0.61254615,0.5961193,0.6356402,0.5724587,0.5582503,0.55207527,0.6930168,0.6491205,0.3910865,0.5469277,0.55938405,0.43594638,0.66484594,0.5383274,0.77533233
3.0,-0.914469,0.38921636,0.5391902,0.41515824,0.21874532,-0.5715347,0.6400518,0.6006101,-0.004817724,0.48216832,0.8813924,-0.7378035,0.48424876,-0.6480087,-0.41455522,0.5955347,0.017904565,0.421191,0.7396407,0.6138861,0.6010111,0.63650936,0.5735454,0.5595087,0.5544437,0.7003248,0.64787376,0.3943436,0.5495433,0.56052613,0.4417999,0.6671427,0.5411341,0.77686423
5.0,-0.9207271,0.39304638,0.5493415,0.42058492,0.22627446,-0.5767732,0.6439532,0.60463387,-0.010036772,0.4883967,0.889539,-0.739929,0.49084592,-0.654672,-0.4125284,0.6021726,0.021972492,0.4196464,0.73726207,0.612194,0.5949543,0.63537514,0.57210886,0.5579033,0.5514475,0.69134945,0.64933836,0.390272,0.5462226,0.55901104,0.4345375,0.66427404,0.53763354,0.77494717
7.0,-0.91858155,0.39178574,0.54620177,0.41894454,0.22406214,-0.5749831,0.64257216,0.603278,-0.008478561,0.48636895,0.8868189,-0.7391531,0.48873603,-0.6525673,-0.41296282,0.6000774,0.020762011,0.42026636,0.73806745,0.61279255,0.5968495,0.63588125,0.57274973,0.55848897,0.55252826,0.6939506,0.64905024,0.3916308,0.5473796,0.55970997,0.4368452,0.66521966,0.53874457,0.7755596
2.0,-0.91233224,0.3878187,0.5356743,0.41314778,0.21588638,-0.5696935,0.6386533,0.5993899,-0.002992358,0.4798987,0.8784893,-0.7371577,0.48185736,-0.6455579,-0.41525155,0.59340686,0.01642938,0.4216451,0.74051285,0.6144614,0.60317487,0.6369089,0.57401985,0.5600018,0.55548114,0.703399,0.64730597,0.395776,0.550521,0.5610229,0.44437543,0.6681209,0.54229075,0.77743113
1.0,-0.91905355,0.39188987,0.5460502,0.41858107,0.22361651,-0.5753559,0.642987,0.60348403,-0.008262891,0.48655444,0.8871731,-0.7394606,0.48880887,-0.6526028,-0.41351685,0.5999466,0.020535275,0.41995698,0.7378844,0.61260736,0.59686977,0.6354295,0.5722948,0.5582996,0.55212504,0.69451225,0.6485598,0.3914213,0.5471399,0.5591074,0.43676865,0.66506976,0.5387913,0.77551395
3.0,-0.9147758,0.38929892,0.53925437,0.41500267,0.21862954,-0.5717713,0.64028215,0.6007845,-0.0048131924,0.48232818,0.88164455,-0.7380139,0.48437232,-0.64813036,-0.4147538,0.59553015,0.017846078,0.42104125,0.739522,0.61377066,0.6009402,0.6362631,0.5733331,0.55940354,0.55420274,0.7004343,0.64766425,0.3941917,0.54939055,0.56022054,0.44166237,0.6670227,0.54112595,0.7767912
3.0,-0.91905063,0.39186472,0.546276,0.41870198,0.22375974,-0.5752726,0.6429034,0.6035991,-0.008421505,0.48657,0.8871151,-0.739482,0.48879856,-0.6526376,-0.41334355,0.60017943,0.020635992,0.4199825,0.73790175,0.61262673,0.59678406,0.6355775,0.57242846,0.5583096,0.552201,0.6941182,0.6486998,0.39143628,0.54707897,0.559282,0.43670633,0.66505027,0.53868866,0.77542806
7.0,-0.91680807,0.39086115,0.5440093,0.41794264,0.22271144,-0.57356924,0.64140433,0.60216403,-0.0074595083,0.48483092,0.88475573,-0.73842335,0.4872461,-0.6510592,-0.4129912,0.5985842,0.020004183,0.42087176,0.73873514,0.6133089,0.5981988,0.636413,0.57339317,0.55900127,0.5534711,0.6956109,0.64907306,0.39268774,0.54834163,0.56045157,0.4385182,0.6659687,0.53954166,0.7760461
5.0,-0.92308724,0.39452255,0.55314064,0.42267957,0.22917908,-0.57877773,0.6454418,0.60614765,-0.012044696,0.49075264,0.8926695,-0.740758,0.4934069,-0.65723944,-0.4116815,0.604622,0.02352105,0.4190835,0.7363745,0.6115454,0.5926718,0.63490194,0.57153517,0.55730677,0.5502945,0.6879956,0.6499012,0.3887272,0.54498714,0.5583888,0.4317922,0.66320544,0.53632987,0.774232
2.0,-0.9135721,0.3887241,0.5381346,0.4145434,0.2180757,-0.57082707,0.6394414,0.6000814,-0.004388204,0.48136973,0.88033617,-0.7374822,0.4835385,-0.6472728,-0.41444016,0.59473145,0.01752074,0.42154396,0.73998594,0.61413777,0.60167617,0.6367269,0.573907,0.5597785,0.55488956,0.70104045,0.6478992,0.3948701,0.55002505,0.56088173,0.44260982,0.6674871,0.5415693,0.7770536
5.0,-0.9223459,0.3939466,0.55136013,0.421473,0.22767341,-0.57815474,0.64507395,0.605567,-0.0110518,0.48985624,0.891536,-0.7405951,0.49238098,-0.656185,-0.4123653,0.60332865,0.022694498,0.41918066,0.73663026,0.61170506,0.5936772,0.63476497,0.57150406,0.5574751,0.55051017,0.6898341,0.6493375,0.38926095,0.54544026,0.55824107,0.43292806,0.66356593,0.5369879,0.7745249
6.0,-0.9216721,0.3935839,0.55066353,0.42123333,0.22722164,-0.5775528,0.64457226,0.6052225,-0.0107214,0.48928016,0.89071137,-0.74030614,0.49176693,-0.65560174,-0.41233534,0.6029935,0.022472888,0.41938975,0.73689955,0.6119212,0.59414226,0.63510895,0.5718225,0.5576593,0.5509474,0.6902472,0.6494334,0.38968053,0.5457423,0.5586652,0.433544,0.66385615,0.5371892,0.7746719
3.0,-0.92361414,0.39448237,0.55253696,0.4218072,0.22809318,-0.5791003,0.6459312,0.60639554,-0.01151398,0.490785,0.892828,-0.741208,0.4931742,-0.6569587,-0.41266054,0.6042067,0.022976518,0.41862684,0.73617095,0.6113182,0.59295285,0.6342629,0.5708978,0.5570647,0.549771,0.68913805,0.6490405,0.38857037,0.5446804,0.5575107,0.43197936,0.66304684,0.536525,0.77417696
3.0,-0.9204628,0.39270616,0.5480431,0.41967887,0.22494712,-0.5765143,0.643902,0.6043769,-0.009187074,0.48785925,0.8889308,-0.7399444,0.4901026,-0.65388626,-0.4133649,0.6013904,0.021286279,0.4194844,0.7373638,0.6122213,0.595673,0.6351325,0.5718272,0.5578894,0.5514381,0.69292927,0.6486983,0.39054886,0.54633564,0.55864453,0.43531787,0.6644735,0.5380343,0.7751369
5.0,-0.91992277,0.39266157,0.5484555,0.42022046,0.22583306,-0.576151,0.64342046,0.6041122,-0.009662379,0.4877534,0.8886536,-0.73958087,0.49025655,-0.6540894,-0.4124376,0.60151315,0.021701008,0.41996896,0.7375547,0.61243045,0.5954946,0.63563716,0.57244784,0.55815643,0.5518844,0.69195694,0.64942974,0.39073074,0.5466956,0.55939794,0.43522096,0.6646044,0.5379795,0.7751665
3.0,-0.92202413,0.3935166,0.55008256,0.42049593,0.22629538,-0.5777637,0.6449201,0.60537606,-0.01025378,0.4892429,0.8907598,-0.74064136,0.49152583,-0.6553248,-0.41312027,0.6025979,0.022003263,0.41904807,0.73676324,0.6117578,0.5944209,0.63461286,0.5713359,0.55748403,0.55056584,0.6912393,0.6487431,0.38959697,0.5455372,0.5579888,0.43375966,0.6637645,0.5373797,0.7746482
3.0,-0.915228,0.38976544,0.5407338,0.41613907,0.22000226,-0.5721889,0.6404961,0.60110617,-0.0056101754,0.48303574,0.8824944,-0.7379656,0.4851849,-0.6489579,-0.41413575,0.59659815,0.018588513,0.42104372,0.73935103,0.61370724,0.6001147,0.63652205,0.5734653,0.5593264,0.55415404,0.69887,0.6482533,0.3938116,0.5491322,0.560517,0.44076172,0.66678107,0.5405803,0.7766321
6.0,-0.9173237,0.39089155,0.543553,0.41730285,0.2218698,-0.5739292,0.6418688,0.60239995,-0.0070309676,0.4849239,0.88501406,-0.7388281,0.48714364,-0.6509259,-0.41382542,0.59829575,0.019584477,0.4204589,0.7385429,0.6130911,0.5983828,0.6358413,0.5728083,0.5587668,0.5529993,0.6965789,0.64835143,0.39250785,0.54805917,0.5596744,0.43860763,0.66583234,0.5396696,0.776006
6.0,-0.92140007,0.39335853,0.5498574,0.42065468,0.22652873,-0.5773497,0.6444708,0.6049683,-0.010261117,0.48891556,0.89028573,-0.7402637,0.49136043,-0.6551651,-0.4126875,0.6023707,0.022085577,0.41940805,0.7369889,0.6119661,0.59458286,0.6349657,0.5717414,0.55771345,0.5509787,0.69115,0.6491273,0.3898791,0.5459299,0.5585043,0.43402004,0.66399467,0.5374993,0.7748077
5.0,-0.9202487,0.39271647,0.54847056,0.42005393,0.22559369,-0.57635146,0.6436624,0.60432225,-0.009590598,0.48789042,0.8888584,-0.7398001,0.49028283,-0.65411776,-0.41274485,0.6015716,0.021598712,0.41975802,0.7374372,0.6123157,0.595465,0.63542354,0.57220566,0.5580292,0.55165684,0.6921293,0.64916337,0.39060006,0.54649,0.559086,0.4351443,0.66449434,0.5379467,0.77508926
1.0,-0.91550195,0.39005363,0.5418081,0.41669452,0.22108606,-0.5725021,0.6406155,0.6012908,-0.0063485317,0.4835145,0.8830596,-0.738004,0.48588574,-0.6496668,-0.41342527,0.5970533,0.019106537,0.42121136,0.7392247,0.6136487,0.5994954,0.63655996,0.57365876,0.55934453,0.5540473,0.6975928,0.6487113,0.3935321,0.5490675,0.5606839,0.44005084,0.66655946,0.54034024,0.77645326
6.0,-0.918746,0.39182258,0.546028,0.41872546,0.22381881,-0.57514673,0.64275366,0.603299,-0.008328531,0.48641658,0.8869544,-0.73926246,0.4887581,-0.6525569,-0.41323504,0.59989786,0.020623267,0.42015094,0.7379956,0.61271673,0.5969059,0.63564223,0.57253116,0.5584205,0.55234617,0.69433755,0.64880306,0.39155436,0.5473274,0.55940914,0.4368556,0.66517395,0.5388216,0.7755767
7.0,-0.92140806,0.3932767,0.5495173,0.42037433,0.22609311,-0.5773245,0.6445099,0.60496116,-0.01000661,0.48879665,0.8901663,-0.7403156,0.49115235,-0.654941,-0.41299954,0.60220635,0.021875113,0.419301,0.7369919,0.6119486,0.59477264,0.6348611,0.5716051,0.5576717,0.5509275,0.6916144,0.6488887,0.389924,0.5458931,0.55833644,0.434216,0.6640211,0.5375877,0.7748369
6.0,-0.91738987,0.39076018,0.5430188,0.4168183,0.22114205,-0.57391137,0.6419554,0.60244733,-0.006637685,0.48474777,0.88483936,-0.7389746,0.48681617,-0.65058845,-0.41433644,0.59804755,0.019234434,0.4202631,0.7385336,0.6130416,0.59867877,0.6356426,0.57257015,0.5586816,0.5528842,0.6973116,0.64794064,0.3925629,0.5479633,0.559369,0.43890715,0.6658585,0.5398024,0.7760217
5.0,-0.92068356,0.39326555,0.5502335,0.42136934,0.22741461,-0.5768362,0.643837,0.6046405,-0.010688597,0.4886958,0.88984704,-0.7397572,0.49137318,-0.6552322,-0.41172087,0.6026542,0.02252841,0.4199169,0.73726666,0.6122532,0.5944597,0.6356851,0.5724677,0.5580097,0.55160904,0.6901423,0.6499822,0.39016342,0.5463087,0.5594812,0.43403262,0.6642217,0.5373825,0.7748861
7.0,-0.9202137,0.3926993,0.54839784,0.42001978,0.22550553,-0.57633483,0.6436419,0.6042979,-0.0095242895,0.48784256,0.8888234,-0.7397719,0.4902355,-0.65405077,-0.41279626,0.60155827,0.021565631,0.41974428,0.7374573,0.612327,0.5955148,0.6354269,0.57218844,0.55802286,0.55167305,0.692236,0.64913744,0.39062032,0.5464881,0.5590794,0.43519557,0.6645127,0.5379578,0.7751111
6.0,-0.9168929,0.39078158,0.54346865,0.41745058,0.22208494,-0.57362956,0.6415483,0.6021396,-0.007087864,0.4847113,0.8846849,-0.738562,0.48703915,-0.65082407,-0.41347337,0.5981912,0.019672185,0.42071775,0.73869866,0.61324143,0.59846395,0.63611877,0.57311964,0.55893254,0.5532972,0.696402,0.6486536,0.39270183,0.548318,0.5600675,0.43876073,0.6659792,0.53973097,0.77609587
1.0,-0.92020625,0.39268613,0.5482367,0.41987935,0.2253983,-0.576356,0.64367795,0.60423654,-0.009442028,0.4878155,0.8888107,-0.73979145,0.490219,-0.6540243,-0.4128783,0.60136193,0.021484584,0.41974866,0.737447,0.61231285,0.5955817,0.63532454,0.5721302,0.55803007,0.5516218,0.6924589,0.6490455,0.39062425,0.54654044,0.55897355,0.43525165,0.6645204,0.5380452,0.77514446
1.0,-0.9115076,0.38764352,0.5355792,0.41340086,0.21649694,-0.5691624,0.6380798,0.5988167,-0.0032272357,0.47956318,0.8779341,-0.7366543,0.4818011,-0.6454955,-0.41442922,0.5930168,0.016639024,0.42224166,0.7407769,0.6147382,0.60326016,0.6373489,0.5746427,0.5603742,0.55598795,0.70295006,0.64792436,0.3961098,0.55111754,0.5617297,0.44457704,0.6683618,0.5424886,0.77760243
2.0,-0.9161188,0.39003903,0.54125655,0.41605437,0.21985993,-0.57283527,0.64110947,0.60169846,-0.0057113245,0.48354816,0.8832528,-0.73845965,0.48553944,-0.6493,-0.41459826,0.59707355,0.01857704,0.42057115,0.7390417,0.61341685,0.59977835,0.6360712,0.5729497,0.5589948,0.5535996,0.6987661,0.6478325,0.39337686,0.54855776,0.5598752,0.44027087,0.666446,0.5403395,0.7763887
7.0,-0.9204776,0.3929795,0.549282,0.4206607,0.22641143,-0.57659554,0.6437679,0.6044812,-0.010079306,0.48827666,0.8893398,-0.73978883,0.49078774,-0.65463024,-0.4123138,0.60208416,0.022020653,0.41980714,0.737348,0.6122781,0.59499973,0.6355295,0.5722981,0.55800647,0.5516177,0.69124246,0.64951533,0.39038655,0.546388,0.5592401,0.4346268,0.6643614,0.53768,0.7749966
7.0,-0.9222065,0.39390713,0.551429,0.4216055,0.22778729,-0.57802343,0.6449291,0.6055386,-0.011116445,0.48978937,0.89141256,-0.74050665,0.49233,-0.6561516,-0.41220486,0.60344446,0.022769019,0.4192546,0.7366953,0.6117651,0.5936718,0.6349369,0.5716499,0.55752003,0.5506517,0.68963134,0.6494964,0.38933086,0.54547757,0.5584528,0.43295804,0.66361356,0.5369417,0.77452576
4.0,-0.91949636,0.3923533,0.5475642,0.41964445,0.22511008,-0.5757902,0.64318424,0.60380816,-0.009189727,0.48727143,0.8880344,-0.7394775,0.48972535,-0.653549,-0.41271245,0.60087574,0.021303758,0.42005086,0.73770833,0.6125303,0.5960062,0.6356156,0.57248265,0.55826145,0.5520379,0.69282174,0.64919627,0.3910275,0.54694426,0.5593873,0.43580973,0.6648054,0.5383074,0.775312
2.0,-0.9122702,0.38817537,0.53710556,0.4143182,0.21774444,-0.5698093,0.63852537,0.5993133,-0.0040292144,0.48043126,0.8790112,-0.7368421,0.4827308,-0.64645505,-0.4140066,0.5940185,0.017307058,0.42211,0.7404759,0.61455333,0.6023655,0.6373379,0.57457685,0.5602022,0.5556819,0.70148766,0.6482906,0.39557907,0.5507268,0.5617092,0.44353965,0.6679894,0.5419636,0.7773575
1.0,-0.9193518,0.3920427,0.54641694,0.41872066,0.2238498,-0.5755972,0.6431849,0.60366905,-0.008447405,0.48681343,0.8875198,-0.7395944,0.4890718,-0.65286773,-0.41349313,0.60016257,0.020659551,0.41986793,0.7377691,0.6125176,0.59664196,0.63532084,0.57219017,0.5582193,0.5519541,0.6942274,0.6485538,0.39124036,0.5469886,0.55897003,0.43648127,0.66493654,0.5386729,0.7754264
7.0,-0.92111415,0.39334977,0.550162,0.4210944,0.22702473,-0.57713634,0.6441877,0.6048701,-0.010514397,0.4888655,0.8901458,-0.7400304,0.49141043,-0.65524316,-0.41220886,0.60264575,0.022351936,0.4196217,0.73710877,0.61209446,0.5944626,0.6353405,0.5720837,0.55783135,0.55127627,0.6905479,0.64956844,0.3899825,0.5460538,0.5589912,0.4339606,0.6640811,0.5373767,0.774823
